YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2008-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.071,1,0.071,1,0.272,2,0.16,0
2008-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.071,1,0.071,1,0.272,51,0.16,0
2008-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.071,1,0.071,1,0.273,51,0.16,0
2008-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.071,1,0.071,1,0.273,51,0.16,0
2008-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.071,1,0.071,1,0.273,51,0.16,0
2008-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,51,0.071,1,0.071,1,0.273,51,0.16,0
2008-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.071,1,0.071,1,0.274,51,0.16,0
2008-01-01,8:00,86.9,121.6,49,908,9,0,8,151,0,15,1,0,8,18,24,170,27,9,24,18,10,170,16,9,10,-9900,99,-9900,99,-9900,99,1.2,51,0.071,1,0.052,1,0.274,51,0.16,0
2008-01-01,9:00,79.1,129.7,267,1415,163,0,8,587,0,15,52,0,8,147,24,597,27,34,24,147,10,597,16,34,10,-9900,99,-9900,99,-9900,99,1.2,51,0.071,1,0.052,1,0.274,51,0.16,0
2008-01-01,10:00,70.7,141.0,467,1415,321,0,8,775,0,15,65,0,8,304,24,776,27,48,24,304,10,776,16,48,10,-9900,99,-9900,99,-9900,99,1.1,3,0.071,1,0.052,1,0.274,51,0.16,0
2008-01-01,11:00,64.3,154.2,614,1415,442,0,8,811,0,15,90,0,8,429,24,855,27,58,24,429,10,855,16,58,10,-9900,99,-9900,99,-9900,99,1.1,51,0.071,1,0.052,1,0.275,51,0.16,0
2008-01-01,12:00,60.5,169.2,697,1415,480,0,8,727,0,15,122,0,8,502,24,889,27,64,24,502,10,889,16,64,10,-9900,99,-9900,99,-9900,99,1.1,51,0.071,1,0.052,1,0.275,51,0.16,0
2008-01-01,13:00,59.9,185.1,710,1415,514,0,8,782,0,15,122,0,8,514,24,894,27,65,24,514,10,894,16,65,10,-9900,99,-9900,99,-9900,99,1.1,3,0.071,1,0.052,1,0.275,51,0.16,0
2008-01-01,14:00,62.5,200.5,652,1415,433,0,8,685,0,15,118,0,8,464,24,874,27,61,24,464,10,874,16,61,10,-9900,99,-9900,99,-9900,99,1.1,51,0.071,1,0.052,1,0.275,51,0.16,0
2008-01-01,15:00,68.1,214.4,528,1415,366,0,8,731,0,15,94,0,8,357,24,817,27,52,24,357,10,817,16,52,10,-9900,99,-9900,99,-9900,99,1.0,51,0.071,1,0.052,1,0.276,51,0.16,0
2008-01-01,16:00,75.8,226.4,346,1415,211,0,8,603,0,15,64,0,8,207,24,687,27,39,24,207,10,687,16,39,10,-9900,99,-9900,99,-9900,99,1.0,3,0.071,1,0.052,1,0.276,51,0.16,0
2008-01-01,17:00,85.1,236.6,121,1415,37,1,8,297,1,15,11,1,8,52,24,362,27,21,24,52,10,362,16,21,10,-9900,99,-9900,99,-9900,99,0.9,51,0.071,1,0.052,1,0.276,51,0.16,0
2008-01-01,18:00,89.9,241.3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.071,1,0.052,1,0.276,51,0.16,0
2008-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.071,1,0.052,1,0.277,51,0.16,0
2008-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.071,1,0.052,1,0.277,51,0.16,0
2008-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.071,1,0.052,1,0.277,51,0.16,0
