724915,"MONTEREY NAF",CA,-8.0,36.600,-121.867,50
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,7.0,A,7,4.0,A,7,81,A,7,1013,A,7,120,A,7,4.6,A,7,16100,A,7,77777,A,7,1.2,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,7.0,A,7,4.0,A,7,81,A,7,1013,A,7,120,A,7,5.7,A,7,16100,A,7,77777,A,7,1.1,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,7.0,A,7,3.0,A,7,76,A,7,1013,A,7,120,A,7,4.6,A,7,16100,A,7,77777,A,7,1.1,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,7.0,A,7,2.0,A,7,70,A,7,1013,A,7,110,A,7,5.1,A,7,16100,A,7,77777,A,7,1.1,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.0,A,7,2.0,A,7,75,A,7,1013,A,7,110,A,7,4.6,A,7,16100,A,7,77777,A,7,1.1,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.0,A,7,2.0,A,7,75,A,7,1013,A,7,120,A,7,4.6,A,7,16100,A,7,77777,A,7,1.1,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4.0,A,7,1.0,A,7,81,A,7,1013,A,7,120,A,7,5.1,A,7,16100,A,7,77777,A,7,1.1,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,08:00,49,908,6,2,8,153,2,15,2,2,8,1208,2,8,8883,2,15,695,2,8,80,2,19,0,E,9,0,E,9,6.0,A,7,2.0,A,7,75,A,7,1014,A,7,120,A,7,4.1,A,7,16100,A,7,77777,A,7,1.0,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,09:00,267,1415,142,2,8,547,2,15,38,2,8,14419,2,8,42537,2,15,6348,2,8,725,2,19,0,E,9,0,E,9,8.0,A,7,3.0,A,7,71,A,7,1014,A,7,100,A,7,3.6,A,7,16100,A,7,77777,A,7,1.0,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
01/01/1999,10:00,467,1415,294,2,8,694,2,15,63,2,8,30157,2,8,63223,2,15,9174,2,8,1222,2,19,0,E,9,0,E,9,12.0,A,7,3.0,A,7,54,A,7,1015,A,7,110,A,7,3.1,A,7,16100,A,7,77777,A,7,1.0,E,8,0.071,F,8,0.160,F,8,-9900,-9900,?,0
