YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2009-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.071,1,0.071,1,0.292,2,0.16,0
2009-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.071,1,0.071,1,0.293,51,0.16,0
2009-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,51,0.071,1,0.071,1,0.293,51,0.16,0
2009-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.071,1,0.071,1,0.294,51,0.16,0
2009-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,51,0.071,1,0.071,1,0.294,51,0.16,0
2009-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,51,0.071,1,0.071,1,0.295,51,0.16,0
2009-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,3,0.071,1,0.071,1,0.295,51,0.16,0
2009-01-01,8:00,86.9,121.5,48,908,4,0,8,0,0,15,4,0,8,14,25,81,28,10,25,16,10,116,16,10,10,-9900,99,-9900,99,-9900,99,1.3,51,0.071,1,0.077,1,0.296,51,0.16,0
2009-01-01,9:00,79.1,129.6,267,1415,99,0,8,127,0,15,75,0,8,139,25,521,28,41,25,139,10,521,16,41,10,-9900,99,-9900,99,-9900,99,1.4,51,0.071,1,0.077,1,0.297,51,0.16,0
2009-01-01,10:00,70.7,140.9,468,1415,316,0,8,570,0,15,128,0,8,280,25,669,28,59,25,294,10,714,16,58,10,-9900,99,-9900,99,-9900,99,1.4,3,0.071,1,0.077,1,0.297,51,0.16,0
2009-01-01,11:00,64.2,154.1,615,1415,429,0,8,814,0,15,76,0,8,401,24,701,27,97,24,418,10,801,16,70,10,-9900,99,-9900,99,-9900,99,1.4,51,0.071,1,0.077,1,0.298,51,0.16,0
2009-01-01,12:00,60.4,169.1,698,1415,504,0,8,866,0,15,77,0,8,487,24,825,27,80,24,490,10,838,16,77,10,-9900,99,-9900,99,-9900,99,1.5,51,0.071,1,0.077,1,0.298,51,0.16,0
2009-01-01,13:00,59.8,185.0,712,1415,513,0,8,864,0,15,79,0,8,496,24,826,27,81,24,502,10,843,16,78,10,-9900,99,-9900,99,-9900,99,1.5,3,0.071,1,0.077,1,0.299,51,0.16,0
2009-01-01,14:00,62.5,200.4,654,1415,449,0,8,780,0,15,89,0,8,362,24,451,27,154,24,451,10,816,16,73,10,-9900,99,-9900,99,-9900,99,1.6,51,0.071,1,0.077,1,0.300,51,0.16,0
2009-01-01,15:00,68.0,214.3,530,1415,354,0,8,762,0,15,69,0,8,340,24,733,27,65,24,344,10,750,16,63,10,-9900,99,-9900,99,-9900,99,1.7,51,0.071,1,0.077,1,0.300,51,0.16,0
2009-01-01,16:00,75.7,226.3,348,1415,206,0,8,581,0,15,63,0,8,193,24,587,27,49,24,197,10,607,16,47,10,-9900,99,-9900,99,-9900,99,1.8,3,0.071,1,0.077,1,0.301,51,0.16,0
2009-01-01,17:00,85.0,236.6,123,1415,37,1,8,289,1,15,11,1,8,48,24,261,27,25,24,48,10,275,16,24,10,-9900,99,-9900,99,-9900,99,1.9,51,0.071,1,0.077,1,0.301,51,0.16,0
2009-01-01,18:00,89.9,241.4,0,35,0,0,8,0,0,15,0,0,8,0,24,2,27,0,24,0,10,2,16,0,10,-9900,99,-9900,99,-9900,99,2.1,51,0.071,1,0.077,1,0.302,51,0.16,0
2009-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.071,1,0.077,1,0.303,51,0.16,0
2009-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,51,0.071,1,0.077,1,0.303,51,0.16,0
2009-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.071,1,0.077,1,0.304,51,0.16,0
2009-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.071,1,0.077,1,0.304,51,0.16,0
2009-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.071,1,0.077,1,0.305,51,0.16,0
2009-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.071,1,0.077,1,0.305,51,0.16,0
2009-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.071,1,0.077,1,0.306,2,0.16,0
2009-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.071,1,0.077,1,0.308,51,0.16,0
2009-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.071,1,0.077,1,0.309,51,0.16,0
2009-01-02,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.071,1,0.077,1,0.311,51,0.16,0
2009-01-02,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.071,1,0.077,1,0.312,51,0.16,0
2009-01-02,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.071,1,0.077,1,0.314,51,0.16,0
2009-01-02,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.071,1,0.077,1,0.315,51,0.16,0
