YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2001-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,8:00,86.9,121.5,48,908,10,0,8,181,0,15,0,0,8,15,10,110,16,9,10,17,10,130,16,10,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,9:00,79.1,129.6,267,1415,162,0,8,597,0,15,50,0,8,135,10,479,16,45,10,143,10,551,16,39,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,10:00,70.7,140.9,467,1415,321,0,8,744,0,15,75,0,8,231,10,331,16,122,10,302,10,745,16,56,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,11:00,64.2,154.1,615,1415,428,0,8,784,0,15,88,0,8,429,10,831,16,68,10,429,10,831,16,68,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,12:00,60.4,169.1,698,1415,494,0,8,838,0,15,81,0,8,503,10,869,16,74,10,503,10,869,16,74,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,13:00,59.8,185.0,711,1415,504,0,8,835,0,15,85,0,8,495,10,839,16,73,10,515,10,875,16,75,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,14:00,62.5,200.4,654,1415,447,0,8,783,0,15,86,0,8,451,10,824,16,71,10,464,10,851,16,71,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,15:00,68.0,214.3,530,1415,347,0,8,723,0,15,77,0,8,355,10,786,16,61,10,356,10,787,16,61,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,16:00,75.7,226.3,348,1415,197,0,8,527,0,15,68,0,8,205,10,646,16,46,10,205,10,646,16,46,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,17:00,85.0,236.6,123,1415,35,1,8,262,1,15,12,1,8,49,10,288,16,24,10,50,10,305,16,24,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,18:00,89.9,241.3,0,35,0,0,8,0,0,15,0,0,8,0,10,3,16,0,10,0,10,3,16,0,10,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.071,1,0.071,1,0.282,1,0.16,0
2001-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.071,1,0.071,1,0.282,1,0.16,0
